year,trans_type,ttwa_cd,theta
2011,Rent,E30000255,1.808
2011,Rent,E30000256,0.801
2011,Rent,E30000257,1.525
2011,Rent,E30000260,1.636
2011,Rent,E30000261,1.53
2011,Rent,E30000262,1.322
2011,Rent,E30000264,2.99
2011,Rent,E30000266,0.954
2011,Rent,E30000267,0.712
2011,Rent,E30000268,1.452
2011,Rent,E30000271,1.71
2011,Rent,E30000272,1.215
2011,Rent,E30000273,1.553
2011,Rent,E30000275,2.138
2011,Rent,E30000276,1.231
2011,Rent,E30000278,1.28
2011,Rent,E30000279,1.558
2011,Rent,E30000280,0.937
2011,Rent,E30000281,0.755
2011,Rent,E30000283,1.588
2011,Rent,E30000284,1.885
2011,Rent,E30000285,0.835
2011,Rent,E30000287,1.83
2011,Rent,E30000288,1.402
2011,Rent,E30000289,1.353
2011,Rent,E30000291,1.612
2011,Rent,E30000292,1.067
2011,Rent,E30000294,1.027
2011,Rent,K01000005,1.239
2011,Rent,K01000011,1.755
2011,Rent,K01000013,1.243
2011,Rent,S22000047,0.672
2011,Rent,S22000051,3.242
2011,Rent,S22000054,1.727
2011,Rent,S22000055,1.696
2011,Rent,S22000056,1.863
2011,Rent,S22000057,1.512
2011,Rent,S22000059,0.568
2011,Rent,S22000060,1.5
2011,Rent,S22000061,1.829
2011,Rent,S22000063,1.218
2011,Rent,S22000065,1.349
2011,Rent,S22000068,1.349
2011,Rent,S22000069,2.947
2011,Rent,S22000070,1.609
2011,Rent,S22000071,1.865
2011,Rent,S22000074,1.179
2011,Rent,S22000085,2.021
2011,Rent,W22000003,1.472
2011,Rent,W22000009,0.707
2011,Rent,W22000015,1.522
2011,Rent,W22000021,1.284
2011,Rent,W22000022,2.338
2011,Rent,W22000024,0.982
2011,Rent,W22000026,1.863
2011,Rent,W22000028,0.811
2011,Rent,W22000029,1.695
2011,Rent,W22000031,2.368
2011,Rent,W22000032,0.891
2011,Rent,W22000034,1.953
2011,Sale,E30000004,1.516
2011,Sale,E30000018,1.598
2011,Sale,E30000029,1.719
2011,Sale,E30000046,1.642
2011,Sale,E30000054,1.383
2011,Sale,E30000061,1.202
2011,Sale,E30000070,1.671
2011,Sale,E30000076,1.798
2011,Sale,E30000093,1.225
2011,Sale,E30000108,1.118
2011,Sale,E30000124,2.535
2011,Sale,E30000135,2.128
2011,Sale,E30000159,1.519
2011,Sale,E30000160,1.435
2011,Sale,E30000162,2.384
2011,Sale,E30000164,1.786
2011,Sale,E30000165,2.234
2011,Sale,E30000166,1.318
2011,Sale,E30000167,2.248
2011,Sale,E30000168,1.415
2011,Sale,E30000169,1.888
2011,Sale,E30000170,0.834
2011,Sale,E30000171,1.296
2011,Sale,E30000173,0.903
2011,Sale,E30000174,1.684
2011,Sale,E30000175,1.821
2011,Sale,E30000179,1.862
2011,Sale,E30000180,1.508
2011,Sale,E30000182,1.03
2011,Sale,E30000183,1.542
2011,Sale,E30000184,1.801
2011,Sale,E30000186,1.456
2011,Sale,E30000187,1.109
2011,Sale,E30000188,1.517
2011,Sale,E30000189,1.636
2011,Sale,E30000190,1.519
2011,Sale,E30000191,1.39
2011,Sale,E30000192,1.383
2011,Sale,E30000193,1.612
2011,Sale,E30000195,1.714
2011,Sale,E30000196,1.371
2011,Sale,E30000197,1.906
2011,Sale,E30000198,3.038
2011,Sale,E30000199,1.309
2011,Sale,E30000200,1.988
2011,Sale,E30000201,1.176
2011,Sale,E30000202,1.762
2011,Sale,E30000203,0.935
2011,Sale,E30000204,1.472
2011,Sale,E30000205,1.782
2011,Sale,E30000206,1.794
2011,Sale,E30000208,1.195
2011,Sale,E30000209,1.184
2011,Sale,E30000210,2.347
2011,Sale,E30000211,1.705
2011,Sale,E30000212,1.301
2011,Sale,E30000215,0.793
2011,Sale,E30000216,2.138
2011,Sale,E30000218,1.385
2011,Sale,E30000219,1.665
2011,Sale,E30000220,1.224
2011,Sale,E30000221,1.205
2011,Sale,E30000222,1.826
2011,Sale,E30000224,1.345
2011,Sale,E30000225,2.873
2011,Sale,E30000226,1.428
2011,Sale,E30000228,2.337
2011,Sale,E30000229,1.55
2011,Sale,E30000230,1.628
2011,Sale,E30000231,1.995
2011,Sale,E30000233,1.067
2011,Sale,E30000234,1.754
2011,Sale,E30000237,1.369
2011,Sale,E30000239,1.384
2011,Sale,E30000240,1.317
2011,Sale,E30000241,1.233
2011,Sale,E30000242,1.302
2011,Sale,E30000243,1.618
2011,Sale,E30000244,1.948
2011,Sale,E30000245,0.988
2011,Sale,E30000247,1.321
2011,Sale,E30000248,2.271
2011,Sale,E30000249,1.875
2011,Sale,E30000250,1.794
2011,Sale,E30000253,1.65
2011,Sale,E30000254,1.688
2011,Sale,E30000255,1.045
2011,Sale,E30000256,1.607
2011,Sale,E30000257,2.584
2011,Sale,E30000260,1.389
2011,Sale,E30000261,1.413
2011,Sale,E30000262,2.067
2011,Sale,E30000264,3.148
2011,Sale,E30000266,1.634
2011,Sale,E30000267,1.535
2011,Sale,E30000268,1.478
2011,Sale,E30000271,1.859
2011,Sale,E30000272,1.524
2011,Sale,E30000273,1.279
2011,Sale,E30000275,1.012
2011,Sale,E30000276,1.576
2011,Sale,E30000278,1.759
2011,Sale,E30000279,2.049
2011,Sale,E30000280,1.977
2011,Sale,E30000281,1.319
2011,Sale,E30000283,1.452
2011,Sale,E30000284,1.176
2011,Sale,E30000285,1.2
2011,Sale,E30000287,2.213
2011,Sale,E30000288,1.512
2011,Sale,E30000289,1.975
2011,Sale,E30000291,1.479
2011,Sale,E30000292,1.31
2011,Sale,E30000294,2.012
2011,Sale,K01000005,1.8
2011,Sale,K01000011,2.158
2011,Sale,K01000013,1.479
2011,Sale,S22000047,0.835
2011,Sale,S22000051,1.643
2011,Sale,S22000054,1.883
2011,Sale,S22000055,1.483
2011,Sale,S22000056,1.501
2011,Sale,S22000057,1.464
2011,Sale,S22000059,1.333
2011,Sale,S22000060,1.412
2011,Sale,S22000061,2.109
2011,Sale,S22000063,2.121
2011,Sale,S22000065,2.439
2011,Sale,S22000068,2.797
2011,Sale,S22000069,1.855
2011,Sale,S22000070,1.421
2011,Sale,S22000071,1.847
2011,Sale,S22000074,1.52
2011,Sale,S22000085,1.748
2011,Sale,W22000003,0.924
2011,Sale,W22000009,1.335
2011,Sale,W22000015,1.972
2011,Sale,W22000021,1.672
2011,Sale,W22000022,2.571
2011,Sale,W22000024,1.198
2011,Sale,W22000026,1.981
2011,Sale,W22000028,1.199
2011,Sale,W22000029,1.182
2011,Sale,W22000031,2.351
2011,Sale,W22000032,0.735
2011,Sale,W22000034,1.8
2012,Rent,E30000004,1.611
2012,Rent,E30000018,1.269
2012,Rent,E30000029,1.495
2012,Rent,E30000046,1.134
2012,Rent,E30000054,1.203
2012,Rent,E30000061,0.795
2012,Rent,E30000070,1.097
2012,Rent,E30000076,1.766
