unit_cd,year,market,direction,rank,partner_cd,flow,share
E30000168,2010,Rent,to,10,E30000175,57,0.0173
E30000169,2010,Rent,from,1,E30000202,2412,0.176
E30000169,2010,Rent,from,2,E30000288,1241,0.0905
E30000169,2010,Rent,from,3,E30000195,1126,0.0822
E30000169,2010,Rent,from,4,E30000228,972,0.0709
E30000169,2010,Rent,from,5,E30000234,741,0.0541
E30000169,2010,Rent,from,6,E30000230,524,0.0382
E30000169,2010,Rent,from,7,E30000289,367,0.0268
E30000169,2010,Rent,from,8,E30000239,312,0.0228
E30000169,2010,Rent,from,9,E30000205,271,0.0198
E30000169,2010,Rent,from,10,E30000266,238,0.0174
E30000169,2010,Rent,to,1,E30000202,2595,0.1707
E30000169,2010,Rent,to,2,E30000288,1482,0.0975
E30000169,2010,Rent,to,3,E30000195,1445,0.0951
E30000169,2010,Rent,to,4,E30000234,1031,0.0678
E30000169,2010,Rent,to,5,E30000228,956,0.0629
E30000169,2010,Rent,to,6,E30000230,569,0.0374
E30000169,2010,Rent,to,7,E30000289,466,0.0307
E30000169,2010,Rent,to,8,E30000183,307,0.0202
E30000169,2010,Rent,to,9,E30000266,272,0.0179
E30000169,2010,Rent,to,10,E30000239,268,0.0176
E30000170,2010,Rent,from,1,E30000239,622,0.2733
E30000170,2010,Rent,from,2,E30000182,458,0.2012
E30000170,2010,Rent,from,3,E30000255,238,0.1046
E30000170,2010,Rent,from,4,E30000171,169,0.0743
E30000170,2010,Rent,from,5,E30000284,96,0.0422
E30000170,2010,Rent,from,6,S22000047,82,0.036
E30000170,2010,Rent,from,7,E30000234,42,0.0185
E30000170,2010,Rent,from,8,E30000197,39,0.0171
E30000170,2010,Rent,from,9,E30000233,38,0.0167
E30000170,2010,Rent,from,10,E30000029,38,0.0167
E30000170,2010,Rent,to,1,E30000239,676,0.2674
E30000170,2010,Rent,to,2,E30000255,366,0.1448
E30000170,2010,Rent,to,3,E30000171,254,0.1005
E30000170,2010,Rent,to,4,E30000182,221,0.0874
E30000170,2010,Rent,to,5,E30000029,68,0.0269
E30000170,2010,Rent,to,6,E30000284,56,0.0222
E30000170,2010,Rent,to,7,E30000234,49,0.0194
E30000170,2010,Rent,to,8,K01000011,46,0.0182
E30000170,2010,Rent,to,9,E30000233,41,0.0162
E30000170,2010,Rent,to,10,W22000024,38,0.015
E30000171,2010,Rent,from,1,E30000255,741,0.1628
E30000171,2010,Rent,from,2,E30000239,529,0.1162
E30000171,2010,Rent,from,3,E30000170,254,0.0558
E30000171,2010,Rent,from,4,E30000233,233,0.0512
E30000171,2010,Rent,from,5,E30000182,168,0.0369
E30000171,2010,Rent,from,6,E30000076,163,0.0358
E30000171,2010,Rent,from,7,E30000284,162,0.0356
E30000171,2010,Rent,from,8,E30000288,108,0.0237
E30000171,2010,Rent,from,9,E30000169,107,0.0235
E30000171,2010,Rent,from,10,E30000163,98,0.0215
E30000171,2010,Rent,to,1,E30000255,1066,0.2419
E30000171,2010,Rent,to,2,E30000239,644,0.1462
E30000171,2010,Rent,to,3,E30000233,261,0.0592
E30000171,2010,Rent,to,4,E30000076,231,0.0524
E30000171,2010,Rent,to,5,E30000284,213,0.0483
E30000171,2010,Rent,to,6,E30000170,169,0.0384
E30000171,2010,Rent,to,7,E30000234,145,0.0329
E30000171,2010,Rent,to,8,E30000163,82,0.0186
E30000171,2010,Rent,to,9,W22000031,58,0.0132
E30000171,2010,Rent,to,10,E30000195,56,0.0127
E30000173,2010,Rent,from,1,E30000245,756,0.3942
E30000173,2010,Rent,from,2,E30000203,122,0.0636
E30000173,2010,Rent,from,3,S22000063,77,0.0401
E30000173,2010,Rent,from,4,E30000229,62,0.0323
E30000173,2010,Rent,from,5,E30000171,54,0.0282
E30000173,2010,Rent,from,6,K01000010,52,0.0271
E30000173,2010,Rent,from,7,E30000163,39,0.0203
E30000173,2010,Rent,from,8,E30000275,35,0.0182
E30000173,2010,Rent,from,9,E30000239,32,0.0167
E30000173,2010,Rent,from,10,E30000093,30,0.0156
E30000173,2010,Rent,to,1,E30000245,1223,0.4984
E30000173,2010,Rent,to,2,E30000203,174,0.0709
E30000173,2010,Rent,to,3,E30000275,80,0.0326
E30000173,2010,Rent,to,4,E30000234,71,0.0289
E30000173,2010,Rent,to,5,S22000063,51,0.0208
E30000173,2010,Rent,to,6,E30000239,45,0.0183
E30000173,2010,Rent,to,7,K01000010,42,0.0171
