unit_cd,unit_nm,year,market,index,value
E30000054,Grantham,2012,Rent,enq,4817.0
E30000061,Hastings,2012,Rent,enq,5179.0
E30000070,Isle of Wight,2012,Rent,enq,3754.0
E30000076,Lancaster and Morecambe,2012,Rent,enq,5234.0
E30000093,Middlesbrough and Stockton,2012,Rent,enq,20078.0
E30000108,Peterborough,2012,Rent,enq,9770.0
E30000124,Spalding,2012,Rent,enq,2970.0
E30000135,Thetford and Mildenhall,2012,Rent,enq,4992.0
E30000159,Andover,2012,Rent,enq,3657.0
E30000160,Ashford,2012,Rent,enq,4676.0
E30000162,Barnstaple,2012,Rent,enq,1603.0
E30000163,Barrow-in-Furness,2012,Rent,enq,4031.0
E30000164,Basingstoke,2012,Rent,enq,9230.0
E30000165,Bath,2012,Rent,enq,7806.0
E30000166,Bedford,2012,Rent,enq,6854.0
E30000167,Bideford,2012,Rent,enq,1372.0
E30000168,Birkenhead,2012,Rent,enq,12351.0
E30000169,Birmingham,2012,Rent,enq,57817.0
E30000170,Blackburn,2012,Rent,enq,9312.0
E30000171,Blackpool,2012,Rent,enq,12868.0
E30000173,Blyth and Ashington,2012,Rent,enq,5384.0
E30000174,Boston,2012,Rent,enq,1788.0
E30000175,Bournemouth,2012,Rent,enq,26185.0
E30000179,Brighton,2012,Rent,enq,19195.0
E30000180,Bristol,2012,Rent,enq,28952.0
E30000182,Burnley,2012,Rent,enq,5481.0
E30000183,Burton upon Trent,2012,Rent,enq,5747.0
E30000184,Bury St Edmunds,2012,Rent,enq,7354.0
E30000186,Cambridge,2012,Rent,enq,26525.0
E30000187,Canterbury,2012,Rent,enq,7572.0
E30000188,Chelmsford,2012,Rent,enq,16447.0
E30000189,Cheltenham,2012,Rent,enq,4587.0
E30000190,Chesterfield,2012,Rent,enq,4175.0
E30000191,Chichester and Bognor Regis,2012,Rent,enq,7668.0
E30000192,Clacton,2012,Rent,enq,6382.0
E30000193,Colchester,2012,Rent,enq,9416.0
E30000195,Coventry,2012,Rent,enq,22838.0
E30000196,Crawley,2012,Rent,enq,20298.0
E30000197,Crewe,2012,Rent,enq,12125.0
E30000198,Cromer and Sheringham,2012,Rent,enq,3582.0
E30000199,Darlington,2012,Rent,enq,3920.0
E30000200,Derby,2012,Rent,enq,14649.0
E30000201,Doncaster,2012,Rent,enq,7458.0
E30000202,Dudley,2012,Rent,enq,15627.0
E30000203,Durham and Bishop Auckland,2012,Rent,enq,13544.0
E30000204,Eastbourne,2012,Rent,enq,10324.0
E30000205,Evesham,2012,Rent,enq,2689.0
E30000206,Exeter,2012,Rent,enq,9227.0
E30000208,Folkestone and Dover,2012,Rent,enq,3680.0
E30000209,Gloucester,2012,Rent,enq,6592.0
E30000210,Great Yarmouth,2012,Rent,enq,3675.0
E30000211,Grimsby,2012,Rent,enq,3979.0
E30000212,Guildford and Aldershot,2012,Rent,enq,21416.0
E30000214,Harrogate,2012,Rent,enq,13133.0
E30000215,Hartlepool,2012,Rent,enq,2421.0
E30000216,Hereford,2012,Rent,enq,2629.0
E30000218,High Wycombe and Aylesbury,2012,Rent,enq,14452.0
E30000219,Huddersfield,2012,Rent,enq,12656.0
E30000220,Hull,2012,Rent,enq,16288.0
E30000221,Huntingdon,2012,Rent,enq,5487.0
E30000222,Ipswich,2012,Rent,enq,19728.0
E30000224,Kettering and Wellingborough,2012,Rent,enq,11632.0
E30000225,King's Lynn,2012,Rent,enq,5545.0
E30000226,Kingsbridge and Dartmouth,2012,Rent,enq,1224.0
E30000228,Leamington Spa,2012,Rent,enq,10610.0
E30000229,Leeds,2012,Rent,enq,30170.0
E30000230,Leicester,2012,Rent,enq,30525.0
E30000231,Lincoln,2012,Rent,enq,16323.0
E30000233,Liverpool,2012,Rent,enq,41535.0
E30000234,London,2012,Rent,enq,429490.0
E30000237,Luton,2012,Rent,enq,28871.0
E30000239,Manchester,2012,Rent,enq,105543.0
E30000240,Mansfield,2012,Rent,enq,7727.0
E30000241,Margate and Ramsgate,2012,Rent,enq,9135.0
E30000242,Medway,2012,Rent,enq,25152.0
E30000243,Milton Keynes,2012,Rent,enq,15808.0
E30000244,Newbury,2012,Rent,enq,6814.0
E30000245,Newcastle,2012,Rent,enq,24613.0
E30000247,Northampton,2012,Rent,enq,15353.0
E30000248,Norwich,2012,Rent,enq,19321.0
E30000249,Nottingham,2012,Rent,enq,35895.0
E30000250,Oxford,2012,Rent,enq,27151.0
E30000252,Penzance,2012,Rent,enq,22.0
E30000253,Plymouth,2012,Rent,enq,8905.0
E30000254,Portsmouth,2012,Rent,enq,26658.0
E30000255,Preston,2012,Rent,enq,12720.0
E30000256,Reading,2012,Rent,enq,20449.0
E30000257,Redruth and Truro,2012,Rent,enq,13886.0
E30000260,Scunthorpe,2012,Rent,enq,3024.0
E30000261,Sheffield,2012,Rent,enq,25043.0
E30000262,Shrewsbury,2012,Rent,enq,7911.0
E30000264,Skegness and Louth,2012,Rent,enq,4147.0
E30000266,Slough and Heathrow,2012,Rent,enq,68190.0
E30000267,Southampton,2012,Rent,enq,26221.0
E30000268,Southend,2012,Rent,enq,23809.0
E30000271,Stafford,2012,Rent,enq,4571.0
E30000272,Stevenage and Welwyn Garden City,2012,Rent,enq,11717.0
E30000273,Stoke-on-Trent,2012,Rent,enq,10940.0
E30000275,Sunderland,2012,Rent,enq,10303.0
E30000276,Swindon,2012,Rent,enq,11188.0
E30000278,Telford,2012,Rent,enq,6168.0
E30000279,Torquay and Paignton,2012,Rent,enq,3168.0
E30000280,Trowbridge,2012,Rent,enq,14468.0
E30000281,Tunbridge Wells,2012,Rent,enq,6044.0
E30000283,Wakefield and Castleford,2012,Rent,enq,8843.0
E30000284,Warrington and Wigan,2012,Rent,enq,27628.0
E30000285,Weston-super-Mare,2012,Rent,enq,5138.0
E30000287,Wisbech,2012,Rent,enq,4238.0
E30000288,Wolverhampton and Walsall,2012,Rent,enq,22315.0
E30000289,Worcester and Kidderminster,2012,Rent,enq,9179.0
E30000291,Worksop and Retford,2012,Rent,enq,2816.0
E30000292,Worthing,2012,Rent,enq,6009.0
E30000293,Yeovil,2012,Rent,enq,14046.0
E30000294,York,2012,Rent,enq,9010.0
K01000005,Cinderford and Ross-on-Wye,2012,Rent,enq,1498.0
K01000010,Carlisle,2012,Rent,enq,4371.0
K01000011,Chester,2012,Rent,enq,19570.0
K01000013,Newport,2012,Rent,enq,9120.0
S22000013,Western Isles,2012,Rent,enq,103.0
S22000035,Orkney Islands,2012,Rent,enq,156.0
S22000039,Shetland Islands,2012,Rent,enq,118.0
S22000047,Aberdeen,2012,Rent,enq,4628.0
